,index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,Deposit,Proba guess
0,31682,38,blue-collar,divorced,high.school,no,no,no,cellular,may,thu,192,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,0,0.417022004702574
1,33751,36,services,married,basic.9y,no,no,no,cellular,may,wed,61,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,0.7203244934421581
2,31272,28,self-employed,single,university.degree,no,yes,no,cellular,may,wed,57,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0,0.00011437481734488664
3,39005,29,student,single,high.school,no,no,no,cellular,dec,wed,390,1,999,0,nonexistent,-3.0,92.713,-33.0,0.715,5023.5,0,0.30233257263183977
4,6164,39,management,single,university.degree,no,yes,no,telephone,may,tue,751,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0.14675589081711304
5,11567,58,blue-collar,married,basic.4y,no,yes,no,telephone,jun,fri,570,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1,0.0923385947687978
6,10218,44,blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,103,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0,0.1862602113776709
7,22980,45,admin.,divorced,university.degree,no,yes,no,cellular,aug,mon,121,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.34556072704304774
8,11165,44,admin.,married,university.degree,no,no,no,telephone,jun,thu,136,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.39676747423066994
9,35902,27,admin.,married,university.degree,no,no,yes,telephone,may,mon,86,1,999,1,failure,-1.8,92.893,-46.2,1.264,5099.1,0,0.538816734003357
10,22138,44,housemaid,married,basic.4y,no,yes,no,cellular,aug,thu,150,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.4191945144032948
11,29211,45,blue-collar,married,basic.9y,no,no,no,cellular,apr,fri,99,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0,0.6852195003967595
12,12057,27,self-employed,single,university.degree,no,no,no,telephone,jun,fri,911,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,1,0.20445224973151743
13,18790,55,retired,married,high.school,no,yes,no,cellular,jul,thu,32,24,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,0.8781174363909454
14,681,45,housemaid,married,professional.course,no,yes,no,telephone,may,tue,1597,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0.027387593197926163
15,1353,20,entrepreneur,single,high.school,no,no,no,telephone,may,thu,238,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.6704675101784022
