,index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,Deposit,Predict Proba
0,8412,53,services,married,high.school,no,no,no,telephone,jun,tue,76,8,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.2540574838414554
1,36391,32,admin.,married,university.degree,no,no,no,cellular,jun,tue,74,1,4,1,success,-2.9,92.963,-40.8,1.262,5076.2,1,0.9455096671891485
2,15993,42,admin.,single,university.degree,no,no,no,cellular,jul,tue,125,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.3785573040041919
3,29214,34,blue-collar,married,professional.course,no,no,no,cellular,apr,fri,365,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.5760527676032849
4,13711,31,admin.,married,high.school,no,no,no,cellular,jul,thu,363,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.3804474773659839
5,26386,57,technician,married,professional.course,no,yes,no,cellular,nov,thu,302,4,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.28304064833729337
6,9184,41,management,married,high.school,no,yes,no,telephone,jun,fri,30,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,0.22719316895770664
7,38412,62,retired,divorced,university.degree,no,yes,no,telephone,oct,wed,129,3,999,0,nonexistent,-3.4,92.431,-26.9,0.735,5017.5,0,0.7794240702790806
8,29326,34,blue-collar,divorced,basic.4y,no,no,no,cellular,apr,fri,204,5,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.503767588029034
9,19842,29,technician,single,high.school,no,no,no,cellular,aug,fri,104,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0.3174623426938056
10,15009,32,blue-collar,married,basic.6y,no,yes,no,cellular,jul,thu,317,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0,0.37591808262265586
11,38552,53,admin.,divorced,high.school,no,no,no,cellular,oct,thu,209,1,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,1,0.8338560359361521
12,14151,44,blue-collar,married,basic.9y,no,no,no,telephone,jul,mon,214,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.2441690604591515
13,26956,29,services,single,professional.course,no,yes,no,cellular,nov,thu,766,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.3243573255321487
14,14511,34,entrepreneur,married,high.school,no,no,no,cellular,jul,tue,924,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.3616043280152348
15,6825,37,services,married,high.school,no,no,no,telephone,may,wed,110,8,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.15754433724316405
16,35949,36,admin.,married,university.degree,no,no,yes,cellular,may,mon,305,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,0,0.5588937804521004
17,25339,45,entrepreneur,married,basic.4y,no,yes,no,cellular,nov,tue,167,5,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,0.2640588939211374
18,8615,52,blue-collar,married,basic.4y,no,no,no,telephone,jun,wed,154,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.27767667109219424
19,12014,45,technician,single,professional.course,no,yes,yes,telephone,jun,thu,116,1,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,0,0.24678216943794345
20,24204,51,blue-collar,married,high.school,no,no,yes,cellular,nov,mon,65,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,0.2792997492477913
21,14054,41,admin.,single,university.degree,no,no,no,cellular,jul,fri,1180,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.36045229707502663
22,1721,51,blue-collar,married,basic.9y,no,no,no,telephone,may,fri,202,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.1873584611411216
23,24334,36,entrepreneur,married,high.school,no,no,yes,cellular,nov,mon,41,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,0.2803007975489845
24,21440,32,self-employed,single,professional.course,no,no,no,cellular,aug,tue,151,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.3007680886304907
25,21076,51,management,married,university.degree,no,yes,no,cellular,aug,thu,244,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.2609823150933667
26,8981,26,housemaid,married,university.degree,no,no,no,telephone,jun,thu,181,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0,0.2628671522054048
27,6321,30,admin.,married,university.degree,no,yes,no,telephone,may,tue,83,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.20312448492877017
28,36717,31,management,married,university.degree,no,no,no,telephone,jun,fri,614,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,0,0.7053921943450954
29,28501,46,blue-collar,divorced,basic.9y,no,no,no,cellular,apr,tue,332,3,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,0.5643662709590742
30,27725,34,management,married,university.degree,no,no,no,cellular,mar,tue,499,1,999,0,nonexistent,-1.8,92.843,-50.0,1.799,5099.1,1,0.8499234125409817
31,6599,30,blue-collar,single,basic.9y,no,no,no,telephone,may,wed,207,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.22569983240541805
32,33440,27,admin.,single,high.school,no,yes,no,cellular,may,tue,132,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0,0.4463124515114916
33,41129,61,admin.,married,high.school,no,no,no,telephone,nov,wed,508,4,999,0,nonexistent,-1.1,94.767,-50.8,1.044,4963.6,0,0.7215701401174672
34,7479,30,blue-collar,married,basic.9y,no,no,no,telephone,may,fri,115,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,0.23803196510592164
35,15403,28,services,divorced,high.school,no,no,yes,cellular,jul,fri,278,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,1,0.41562723008793523
36,36490,37,self-employed,married,professional.course,no,no,no,cellular,jun,wed,321,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1,0.825998695994156
37,4447,57,technician,married,basic.9y,no,yes,no,telephone,may,tue,412,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.19097422535961667
38,27051,37,admin.,married,university.degree,no,yes,yes,cellular,nov,fri,215,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0.29742594282485
39,11578,49,blue-collar,married,basic.4y,no,yes,no,telephone,jun,fri,553,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0.22225319455874823
40,26774,39,management,married,high.school,no,yes,yes,cellular,nov,thu,758,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,1,0.2833837696725468
41,14992,35,blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,55,14,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0,0.16438957008799865
42,31060,33,management,married,university.degree,no,no,no,cellular,may,wed,210,2,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,0,0.31595636118446596
43,39343,28,blue-collar,single,high.school,no,no,no,cellular,mar,thu,247,1,999,0,nonexistent,-1.8,93.369,-34.8,0.635,5008.7,0,0.8924095028991749
44,4656,33,technician,married,professional.course,no,yes,yes,telephone,may,wed,262,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.22373512393443637
45,5337,49,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,281,27,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.09585441578442608
46,11431,46,blue-collar,married,basic.6y,no,no,no,telephone,jun,fri,111,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0.2589445394007121
47,25644,41,blue-collar,married,basic.6y,no,yes,no,cellular,nov,wed,264,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.32493202380931924
48,24568,35,admin.,married,university.degree,no,no,no,cellular,nov,mon,747,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,0.2927720123253477
49,27962,59,blue-collar,married,basic.4y,no,no,no,cellular,mar,tue,237,3,999,0,nonexistent,-1.8,92.843,-50.0,1.51,5099.1,1,0.7451054929429307
50,18169,32,blue-collar,married,high.school,no,no,no,cellular,jul,wed,259,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.41373223031903733
51,5397,31,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,fri,209,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.20933057261205734
52,7621,39,blue-collar,married,basic.9y,no,no,no,telephone,may,fri,199,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,0.2201569240380578
53,41083,24,technician,single,university.degree,no,yes,yes,cellular,nov,tue,467,3,6,3,failure,-1.1,94.767,-50.8,1.049,4963.6,1,0.9244608021179324
54,10698,48,blue-collar,married,basic.9y,no,yes,yes,telephone,jun,tue,127,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.22810938348277443
