,index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,Predict Proba,Predict Proba RandGuess
0,33436,35,admin.,single,university.degree,no,yes,no,cellular,may,tue,536,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0.3135732843058196,0.5507979025745755
1,30848,32,management,divorced,university.degree,no,yes,no,cellular,may,tue,313,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0.44525715003928285,0.7081478226181048
2,30567,30,technician,single,professional.course,no,no,no,cellular,may,mon,79,4,999,1,failure,-1.8,92.893,-46.2,1.354,5099.1,0.5174385359402813,0.2909047389129443
3,11270,59,retired,married,basic.9y,no,yes,no,telephone,jun,thu,235,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0.2942742574830098,0.510827605197663
4,18499,53,blue-collar,married,basic.4y,no,no,yes,cellular,jul,thu,36,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0.2869268914163766,0.8929469543476547
5,35139,39,admin.,married,university.degree,no,yes,no,cellular,may,fri,894,2,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0.4729208030888269,0.8962930889334381
6,18849,30,admin.,married,university.degree,no,no,no,cellular,aug,mon,243,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0.3061159473799374,0.12558531046383625
7,10924,28,admin.,single,university.degree,no,yes,no,telephone,jun,wed,355,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0.28830985214045013,0.20724287813818676
8,34588,27,technician,single,professional.course,no,no,no,cellular,may,thu,256,1,11,1,success,-1.8,92.893,-46.2,1.266,5099.1,0.8226821272535151,0.05146720330082988
9,5682,30,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,123,14,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0.15763080651043226,0.44080984365063647
10,29004,36,entrepreneur,married,basic.9y,no,yes,no,cellular,apr,fri,158,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0.5172859815093106,0.029876210878566956
11,904,52,technician,married,basic.4y,no,no,yes,telephone,may,wed,388,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0.1871549873620474,0.4568332243947111
12,23834,34,technician,married,professional.course,no,no,no,cellular,aug,fri,462,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0.28605907213578835,0.6491440476147607
13,5282,29,technician,married,university.degree,no,yes,no,telephone,may,fri,206,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0.20567514209177873,0.2784872826479753
14,10030,29,services,married,high.school,no,yes,no,telephone,jun,thu,109,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0.24933760261582927,0.6762549019801313
15,39831,44,technician,married,university.degree,no,yes,no,telephone,jun,wed,712,1,6,3,failure,-1.7,94.055,-39.8,0.715,4991.6,0.876320890195674,0.5908628174163508
16,6173,46,housemaid,married,basic.4y,no,yes,no,telephone,may,tue,129,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0.17315462557707997,0.023981882377165364
17,9880,47,services,married,basic.9y,no,yes,no,telephone,jun,wed,91,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0.25235825212542207,0.558854087990882
18,15781,43,admin.,married,high.school,no,no,yes,cellular,jul,mon,111,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0.33467161589804734,0.2592524469074654
19,5769,51,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,76,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0.18865221365551105,0.41510119701006964
